파스타면,"[1, '인분', '개', '인분분량', '인분(원크기)']"
물,"[1, '컵', '부(그릇)', '공기', '/컵', 'ml', '.L', '~컵', 'L', '종이컵', '머그컵', '/ 컵', '스푼', ' g', '적당량']"
올리브유,"[1, 't', '적당히', '~큰술', ' 적당량', '닭가슴살이코팅될정도', '듬뿍', '/종이컵', 'g', '조금', 'T', '큰술']"
라면,"['1개', '봉지', '개', 'g', '봉', '/개']"
대파,"['조금', '큰술', '/대', '개', '적당량', '주먹', '대', '뿌리', '/개', '/단', '/뿌리', '약간', '/', '~컵', 'g', '줌', '~뿌리']"
계란,"['1개', '개', '알', 'ea']"
김,"['2큰술', '약간', '']"
배,"['1/4개', '/개', '개']"
양배추,"['50g', '장', '약간', '/개', 'g', '/통', '조금', '주먹']"
부추,"['조금', '원짜리 만큼', '줌', '/줌', 'Ts']"
소고기,"['100g', 'g', 'kg', ' g', '덩어리', '개']"
간장,"['1큰술', '큰술', '스푼', '.스푼', '.큰술', '숟가락', 'T', '큰 술', '큰술(없으면 맛간장으로)', '컵', '/컵', '/cup', 't', '/ts', 'Ts']"
설탕,"['1큰술', '큰술', '.T', '.스푼', 'T', '약간', '컵', 'tbsp', '작은술', '스푼', '적당량', '/작은술', '/큰술']"
다진마늘,"['1큰술', '스푼', '티스푼', '.스푼', '작은술', '/큰술', '/T', '숟가락', 't', '큰술', 'T', '큰 술', '/숟가락', '/컵', '/cup', '/ts']"
후추,"['약간', '조금', '톡톡', '꼬집', '작은술', '알', 't', '.T', '/수저', 'g', '적량', ' 약간', '인분)']"
양파,"['1/4개', '/개', '조금', '개', '/쪽', '/', '/ 개', ' 개', ' g', 'g', '기호에따라']"
마늘,"['2큰술', '쪽', '개', '약간', 'T', '+/큰술', '/숟가락', '작은술', 't', '알', 'g']"
고추장,"['1큰술', 'T', '.스푼', '', '큰술', '~T', '스푼', 'Ts']"
매실청,"['4큰술', 'T', '큰술']"
식초,"['8큰술', 'T', '/종이컵', '큰술', '/직은술', '/큰술']"
고춧가루,"['3큰술', 't', '+/티스푼', '숟가락', '큰술', '큰 술', 'T', '작은술', '.T', '/숟가락', '약간', '/T', '/cup', '/작은술', '작은스푼', '스푼']"
참기름,"['1큰술', '.T', 't', '스푼', '작은술', 'T', '숟가락', '큰 술', '큰술', '/큰술', '수저', '/ts']"
참깨,"['1큰술', '솔솔', '조금', '적량']"
만두,"['400g', '개', '~개']"
고구마,"[1, 'g']"
모짜렐라치즈,"[1, 'g', '약간', '적당량', '넉넉히', '장', '줌']"
치즈,"[1, '개', '장', 'g']"
핫바,[1]
방울토마토,"[1, '개', ' 개', 'g', '~개']"
소면,"[1, '인분', '원 동전보다 살짝 크게 움켜쥔 정도(', '원동전크기']"
호박,"[1, '/개', '조각', '적당히']"
당근,"[1, '/개', '조금', '/줌', '토막', '/ 개', '개', 'g']"
소금,"[1, '약간', '/스푼~/스푼', '.큰술', '/티스푼', '티스푼', '조금', '/작은술', '큰술', 'T', '/T', '+/큰술', '/큰술', 't', '적당량', '큰술반', '꼬집', '왕창', ' 약간', 'g', '작은술', 'Ts']"
수제비,['100g']
감자,"['1개', '개', '/개', 'g']"
청양고추,"['1개', '개', '/개', '조금', '-개', '약간', '~개']"
멸치액젓,"['1숟가락', 't', '.큰 술', '/큰술', 'T', '큰술', '~큰술']"
