INGREDIENT,STANDARD_UNIT,UNITS
파스타면,인분,"['1', '1', '1', '1', '2', '1', '3', '1', '1']"
물,ml,"['180', '8*180', '8*180', '3*180', '1/2*180', '11*180', '1600', '3/4*180', '2.4*1000', '5*180', '1*1000', '1*1000', '3*1000', '1500', '4*180', '600', '1800', '2*180', '180', '600', '2*180', '2*1000', '5*180', '3*180', '1*180', '50', '1/2*180', '2*15', '150', '100', '180', '1*180', '2*180', '150', '180', '180', '150']"
올리브유,T,"['1', '2/3', '1', '1', '3', ' 1', ' 1', '1', '2', '1/2*180/15', '5/15', '0.5', '1', '2']"
라면,개,"['1', '1', '2', '1', '1', '1', '1/2']"
대파,대,"['0.5', '1', '2', '1/2', '1', '1/2', '1', '1', '1', '0.5', '1', '1', '1', '1', '1/2', '2', '1', '2', '1', '1/2', '1/2', '1/2*10', '1', '1', '1', '1', '1/2', '0.5', '1/2', '1/2', '1', '0.5', '2/3', '2', '1', '1/2', '1', '1', '1/2', '2', '1', '1', '3', '1', '1', '1', '1', '1', '1/2', '1', '4']"
계란,개,"['1', '1', '1', '1', '2', '1', '1', '2', '1', '1', '2', '2', '1', '1', '4', '1', '1', '1', '1', '3', '2', '2', '4', '2', '5', '4', '3']"
김,장,"['2', '1', '0.5', '1', '1']"
배,개,"['1/4', '1/4', '1']"
양배추,개,"['50/3000', '1*0.1', '0.5', '1/2', '100/3000', '1/4', '1/6', '0.5', '1/8', '2*0.1', '1*0.5', '1']"
부추,g,"['0.5', '1*10', '1*10', '1/4*10', '1*10', '2*15']"
소고기,200g,"['100/200', '1', '250/200', '150/200', '1', '200/200', '1', '200/200', '1', '550/200', '100/200', '1*1000/200', '20/200', '30/200', '2*200/200', '300/200', '4*200/200', '2*200/200', '150/200']"
간장,T,"['1', '2', '1', '2', '0.5', '1', '1', '1.5', '4', '4', '1', '1', '1', '1', '1', '1', '2', '1', '3', '1', '1', '1', '1', '2', '2', '4', '6', '3', '2*180/15', '1/2*180/15', '1', '1', '1/3*180/15', '2', '3', '2', '2', '2', '5/3', '5', '2', '2', '1/4/3', '2', '1']"
설탕,T,"['1', '3', '0.5', '0.5', '1', '1', '2', '1', '1', '1', '0.5', '1.5', '1', '1*180/15', '4', '1/3', '1/3', '2.5', '1', '1', '2', '1', '1', '1/2/3', '1/2']"
다진마늘,g,"['1*15', '1*15', '1/3*15', '0.5*15', '1/3*15', '1', '1/2*15', '1*15', '1*15', '1/3*15', '1*15', '1*15', '1', '1*15', '1*15', '1', '1/3*15', '1*15', '1*15', '1*15', '1*15', '1*15', '1*15', '1*15', '1/2*15', '1*15', '1*15', '1*15', '1/3*15', '1*15', '1/2*180', '1', '2*15', '1/4*180', '1*15', '1', '1*15', '1/3*15', '1*15', '2*15', '1/4/3*15', '1*15', '1/2*15']"
후추,T,"['0.5', '0.5', '0.5', '0.5', '1/3', '0.5', '0.5', '0.5', '0.5', '1/3', '1', '0.5', '0.5', '1', '1', '1/3', '1', '0.5', '0.5', '1', '0.5', '0.5', '1', '0.5', '0.5', '0.5', '1', '0.5', '1/2', '1', '0.5', '0.5', '1', '1/15', '1', '0.5', ' 0.5', '0.5', '0.5', '0.5', '0.5', '4/3', '0.5', '0.5', '0.5', '0.5', '0.5', '1/3', '3/15', '0.5', '1', '2', '0.5', '0.5', '0.5', '0.5']"
양파,개,"['1/4', '1/4', '1/2', '0.5', '1/2', '1', '1', '1/4', '1/4', '1', '1/2', '1', '1/2', '1', '1/2', '1/4', '1/2', '1', '1/2', '1/2', '1/4', '1/2', '1/4', '1/2', '1/2', '1/2', '0.5', '1/2', '1/4', '1', '1/2', '1/2', '1/2', '1/2', '1', '1/2', '1', '1/2', '1', '1', '1/2', '1/2', '1', '1', '1/4', '1', '1', '1', '3', '1', '1/2', '1/2', '1/3 ', '1', '1/2', '1', '1/2', '1/2', '1', '1', '1', '1 ', '1/3', '1', '30/300', '30/300', '1/2', '1/2', '1', '1/2', '1', '1/2', '1', '30/300', '1/4', '1/2', '1', '1/2', '1', '1', '1', '150/300', '1/2', '20/300', '1/4', '1/2', '1/4']"
마늘,T,"['2', '1', '1', '1', '3', '1', '10', '1', '0.5', '10', '1', '5', '1', '2+1/2', '1/2', '4', '1/3', '1/3', '4', '5', '7', '30/15', '30/15', '1', '1', '1']"
고추장,T,"['1', '2', '1.5', '1', '1', '1', '1', '1', '1', '1', '4', '2', '1', '1', '1', '1', '1', '1', '2', '1', '1']"
매실청,T,"['4', '2', '1', '1', '1']"
식초,T,"['8', '1', '1/4*180/15', '10', '1', '1/2/3', '1/2']"
고춧가루,T,"['3', '1', '1/3', '1+1/2/3', '1', '3', '4', '1', '1', '3', '1', '2', '2', '1', '1', '4', '5', '1', '2', '2/3', '1', '1.5', '1', '1', '1', '1/2', '1', '2', '5', '4', '0.5', '2', '1/3', '3', '4', '1/3*180/15', '2/3', '1', '1/4/3', '3', '2', '4', '2', '1/3', '1']"
참기름,T,"['1', '1', '0.5', '1/3', '1', '1', '1', '1/3', '1', '1', '1', '1', '2', '1', '1', '2', '1', '0.5', '2', '1/2', '5', '1', '2', '1', '1/2', '1', '1', '1', '1/3', '1', '1/4/3']"
참깨,T,"['1', '1', '0.5', '1', '0.5', '1']"
만두,개,"['400/40', '5', '4', '5']"
고구마,개,"['1', '200/100', '1']"
모짜렐라치즈,100g,"['1', '300/100', '1', '0.5', '1', '200/100', '50/100', '2', '1', '0.5', '4*100', '100/100', '1*10/100', '1']"
치즈,장,"['1', '1', '1', '2', '2', '2', '1', '400/100']"
핫바,개,['1']
방울토마토,개,"['1', '5', '3', '10', '8', '8']"
소면,인분,"['1', '5', '0', '1', '1']"
호박,개,"['1', '1', '1/2', '1', '1', '1/3', '1', '1/2', '1/2', '1/3', '1', '1/3']"
당근,개,"['1', '1', '1/2', '0.5', '1/2*10/200', '0.5', '1/6', '0.5', '1/2', '1', '1', '1/5', '1/4 ', '1/2', '1/5', '1', '1/5', '1', '1/2', '1', '1', '15/200', '1']"
소금,T,"['1', '0.5', '1/2', '0.5', '1/2/3', '2/3', '1', '1/3', '0.5', '0.5', '1/2/3', '1', '1', '1', '0.5', '2', '1', '1', '1', '0.5', '1/2', '1', '1+1/2', '3/2', '1', '1/3', '1/2/3', '1', '1', '0.5', '0.5', '1.5', '1', '0.5', '1', '0.5', '1', '1/3', '2', '1/3', '1/2', ' 0.5', ' 0.5', '0.5', '1', '1/2/3', '0.5', '4/3', '0.5', '0.5', '1/3', '0.5', '0.5', '0.5', '1/3', '2/15', '1', '1/3', '0.5', '2', '1/3', '0.5', '0.5']"
수제비,g,['100']
감자,개,"['1', '1', '2', '1', '4', '1/2', '1', '3', '1', '4', '2', '1', '100/250', '8', '4', '5', '1', '1/2', '1', '2', '1']"
청양고추,개,"['1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '1/2', '2', '2', '1', '0.5', '3', '2', '1', '1', '2', '1', '3', '2', '3', '2', '1', '1/2', '1', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '1', '4', '1/2', '0.5', '1', '2', '1', '3', '1/2', '3', '1', '1']"
멸치액젓,T,"['1', '1/3', '1.5', '1', '1/2', '2', '1/3', '3', '2', '1', '4']"
사골육수,ml,"['4*180', '350', '500', '500', '500', '400']"
칼국수,g,['400']
쫄면,인분,"['200/100', '1']"
상추,g,['30']
햄,개,"['0.5', '2', '50/40', '1', '1', '1']"
스파게티소스,인분,"['1', '1', '1/2', '2*180/150', '1', '1', '1/2 ', '5/10', '240 /150', '250/150', '5/10', '1', '100/150', '4*180/150', '90/150', '4/10']"
우유,180ml,"['1', '1', '1', '1', '200/180', '50/180', '150/180', '1/2*180/180', '2*15/180']"
백태,ml,['3*180']
오이,개,"['1/2', '2', '1/4 ']"
토마토,개,"['1', '1', '1 ', '1/4', '1/2', '2', '230/180', '1*10/180', '2', '1/3']"
닭고기,200g,"['100/200', '1', '1', '1250/200', '1', '1', '1.5*1000/200', '125/200', '1', '100/200', '500/200', '1']"
짜장면,인분,['2']
미원,T,"['1/3', '1', '1/3', '1/3', '1', '1', '1/2', '1/2/3', '1', '1']"
생강,T,"['0.5', '0.5', '1', '1', '1', '1', '0.5/3', '1', '1', '0.5']"
우동면,인분,"['1', '1']"
어묵,개,"['1', '1', '2']"
숙주,g,"['1*10', '1*10', '2*10', '1*10']"
청경채,개,"['2', '1']"
굴소스,T,"['3', '1', '1', '1', '2', '2']"
새우,마리,"['1*10/30', '7', '8', '20', '200/30', '1*10/30']"
홍합,개,"['10', '70']"
오징어,마리,"['1*10/100', '1', '2', '3']"
배추,10g,"['1', '2', '100/10', '1']"
짬뽕,개,['1']
가쓰오부시,T,['1/3']
비빔면,개,['1']
들기름,T,"['1', '0.5', '3', '1']"
김치,kg,"['1/2', '2/3', '1/4', '200/1000', '1.5*1', '2', '1/4', '0.5', '2*1', '100/1000', '1*10/1000', '1', '1', '1', '1', '1*10/1000', '150/1000']"
매실액,T,"['1.5', '1', '1', '2', '2', '1/3', '2']"
베이컨,장,"['1', '2', '1', '100/20', '3', '5', '3']"
브로콜리,개,"['3', '1', '1', '1']"
느타리버섯,50g,"['3', '1*10/50', '1*10/50', '1', '100/50', '1', '30/50', '0.5']"
샐러리,개,['0.5']
파프리카,개,"['1/4', '1/2', '1', '1', '1', '1', '1/2', '70/70', '1', '1', '40/70', '1']"
견과류,봉,"['1', '0.5']"
다시다 육수,개,"['1', '1', '500/180', '1', '1', '37/180', '8*180/180', '1', '2*180/180', '2*180/180', '4*15/180', '4*180/180', '1', '1']"
애호박,개,"['1', '1/3', '1/4', '0.5', '1/2', '1/3', '1/6 ', '1', '30/300']"
바지락,개,"['1', '10', '3']"
생크림,100g,"['1', '1']"
버터,5g,"['1', '0.5', '20/5', '1', '20/5', '4', '0.5', '0.5', '1', '1*15/5']"
페페론치노,개,"['5', '3', '1', '10']"
아보카도오일,T,['3']
쌀국수,개,['1']
레몬즙,T,"['1', '1.5', '1.5', '0.5']"
햇반,개,"['1', '2', '1', '1 ', '1', '2', '1']"
피망,개,"['1/2', '1/2', '1/2', '1', '1', '1/2']"
파마산치즈,T,"['3/3', '50/15', '1', '2']"
치킨스톡,T,['1/4']
포도주,T,"['1', '1*180/15', '3']"
당면,100g,"['1', '1', '15/100', '1', '1', '30/100']"
팽이버섯,개,"['1', '1', '1', '1', '1']"
무,개,"['200/700', '1/5', '1/5', '1', '300/700', '1', '1*180/700', '200/700', '1/2', '0.5', '1', '1/5', '1/3', '1/10']"
다시마,10g,"['1', '1', '2', '2', '2', '1', '1', '1']"
