name,unit,price
가지,개,500
간장,T,95
갈치,마리,20000
감자,개,1000
건새우,T,1000
계란,개,533
고구마,g,7
고사리,g,13
고추,개,500
고추장,T,338
고춧가루,T,672
김,장,100
깨,T,567
깻잎,장,300
꽃게,g,20
낙지,마리,600
느타리버섯,g,5
다시마,g,13
닭고기,g,6
당근,개,750
당면,g,39
대추,개,1600
대파,대,400
동태,마리,5333
돼지고기,g,22
된장,T,162
두부,모,2000
라면,개,625
레몬,개,500
마늘,T,200
마요네즈,T,161
멸치,마리,133
멸치액젓,T,120
무,개,2600
물,ml,2
물엿,T,53
미나리,g,7
미더덕,g,15
미역,인분,26
미원,T,78
밀가루,T,4
바나나,개,750
바지락,개,70
방울토마토,개,46
배,개,2000
배추,g,5
백태,ml,4
버섯,개,333
버터,g,23
부추,g,13
북어,ml,17
브로콜리,개,300
비빔면,개,538
사과,개,3500
상추,g,10
새송이버섯,g,5
새우,마리,1200
생강,T,77
서리태,g,10
설탕,T,28
소고기,g,55
소금,T,84
소면,인분,350
숙주,g,10
시금치,g,9
식용유,T,78
식초,T,42
쌀,g,2
쑥갓,g,5
아몬드,g,15
애호박,개,1500
양배추,개,2000
양상추,개,3000
양송이버섯,ml,8
양파,개,77
오렌지,개,1000
오이,개,700
오징어,마리,6000
옥수수,개,700
올리고당,T,67
우유,ml,3
조개,g,15
짬뽕,개,856
쪽파,개,500
참기름,T,338
참깨,g,28
찹쌀,g,3
청양고추,개,111
치즈,장,365
칼국수,g,3
콩,g,17
콩나물,g,2
토마토,개,600
파,개,1000
파프리카,개,1000
팽이버섯,개,333
표고버섯,개,250
피망,개,400
해바라기씨,g,5
햄,g,2
햇반,개,1363
호박,개,1500
홍합,개,133
후추,T,1620
